Id,Predicted
5895,0.302
7122,0.269
6173,0.086
6142,0.114
5358,0.452
6095,0.051
6878,0.362
6554,0.282
6793,0.247
7286,0.291
6076,0.153
5134,0.392
5419,0.381
6255,0.649
5656,0.572
6934,0.465
6028,0.222
6490,0.049
6415,0.489
7087,0.118
5420,0.59
5977,0.242
6824,0.32
5207,0.052
7115,0.678
7250,0.357
6010,0.429
6088,0.8
5682,0.132
7201,0.135
6938,0.102
6875,0.092
5953,0.031
5942,0.102
5382,0.03
6377,0.032
5931,0.522
5992,0.04
5790,0.516
6753,0.581
6562,0.233
7046,0.412
5868,0.1
5784,0.315
5878,0.28
5110,0.446
5210,0.041
7230,0.057
5005,0.205
6871,0.52
5363,0.431
7253,0.101
6055,0.283
5072,0.108
6913,0.26
6386,0.265
5634,0.308
5758,0.342
6819,0.17
7088,0.066
5039,0.115
5532,0.099
6037,0.095
6322,0.229
6887,0.093
6660,0.033
5451,0.267
6014,0.055
5556,0.371
6346,0.161
5850,0.565
5940,0.041
7119,0.048
5253,0.298
6851,0.272
6695,0.038
6908,0.628
7255,0.022
5674,0.205
6278,0.212
5486,0.485
5174,0.091
6621,0.457
6313,0.452
6435,0.048
6970,0.094
6310,0.261
5932,0.586
6877,0.335
6763,0.148
7085,0.755
7049,0.273
6959,0.297
5214,0.155
6350,0.386
5063,0.579
5041,0.328
5086,0.571
6942,0.019
5270,0.49
6705,0.374
7051,0.285
6758,0.268
6249,0.119
5808,0.049
5377,0.308
5446,0.123
5856,0.28
4986,0.254
7001,0.025
6677,0.088
6665,0.035
5817,0.545
6984,0.447
6541,0.104
5117,0.315
6097,0.115
5389,0.031
7219,0.031
6338,0.325
6922,0.064
5367,0.063
5638,0.366
5830,0.256
5338,0.017
6007,0.022
6612,0.276
5718,0.01
6104,0.52
5229,0.079
6625,0.339
5206,0.407
5963,0.445
4990,0.36
6641,0.015
5369,0.081
6196,0.568
5236,0.084
5719,0.427
5643,0.046
7050,0.405
6355,0.132
6688,0.01
6239,0.365
5531,0.039
6113,0.121
7181,0.375
6118,0.265
7264,0.083
5343,0.057
5051,0.347
5779,0.137
6605,0.322
6655,0.378
6534,0.286
5681,0.369
6607,0.222
6242,0.013
7242,0.093
7277,0.045
6675,0.015
5398,0.273
5956,0.012
5731,0.296
6956,0.07
6437,0.141
5447,0.198
5973,0.064
6075,0.45
5281,0.343
5103,0.098
6468,0.023
7209,0.241
5584,0.012
4988,0.343
6502,0.26
5651,0.061
4962,0.259
5862,0.192
7199,0.237
6727,0.258
7279,0.25
6544,0.149
5933,0.02
6574,0.275
6399,0.083
7187,0.045
6353,0.026
5043,0.062
5469,0.288
5976,0.196
6059,0.226
5799,0.032
6147,0.343
6254,0.365
7100,0.043
7147,0.375
5909,0.081
7037,0.244
5782,0.012
6237,0.325
6552,0.105
7067,0.203
5320,0.712
5930,0.387
6486,0.247
5245,0.293
6643,0.014
5260,0.363
5569,0.313
7110,0.545
7139,0.045
6791,0.311
5360,0.096
5287,0.595
6553,0.557
7072,0.143
6044,0.337
5332,0.024
6866,0.029
6633,0.497
6926,0.101
6442,0.455
5889,0.365
5765,0.593
5124,0.051
5491,0.357
6730,0.059
7151,0.503
5140,0.304
7171,0.051
6568,0.237
6861,0.113
6855,0.184
7129,0.094
5384,0.066
6859,0.234
5772,0.108
5665,0.083
6495,0.692
5061,0.091
6948,0.421
5773,0.656
6052,0.107
6682,0.279
6083,0.032
6962,0.464
5158,0.456
6464,0.064
5172,0.069
5582,0.085
6136,0.438
6235,0.115
6508,0.262
4968,0.258
6632,0.282
7195,0.665
5525,0.36
6320,0.161
6766,0.053
6872,0.241
5906,0.193
7172,0.021
6571,0.02
5616,0.657
6312,0.073
6470,0.61
5147,0.053
5501,0.397
6436,0.107
5699,0.577
5313,0.067
6234,0.021
6569,0.098
7202,0.205
5683,0.205
5034,0.295
5435,0.045
5815,0.188
5589,0.398
6746,0.05
6790,0.481
6857,0.052
6450,0.038
7221,0.099
5527,0.341
5620,0.522
6215,0.035
7167,0.054
5823,0.3
6207,0.028
6932,0.029
5669,0.39
5154,0.148
7168,0.027
5585,0.224
7200,0.036
6539,0.013
5774,0.118
6357,0.014
5042,0.384
5015,0.375
5354,0.269
6054,0.505
7295,0.365
5365,0.4
6755,0.457
5991,0.064
7035,0.142
5893,0.071
7164,0.01
5304,0.03
5561,0.037
5520,0.018
5241,0.219
7096,0.189
6078,0.017
5046,0.424
5334,0.222
6969,0.054
6821,0.47
5760,0.134
5614,0.021
7091,0.343
5698,0.071
5169,0.424
7294,0.008
5318,0.309
5368,0.03
6923,0.03
5463,0.004
5265,0.264
6321,0.286
5226,0.613
6868,0.022
4967,0.273
5293,0.066
5865,0.259
5841,0.141
5526,0.026
6852,0.003
6469,0.021
6168,0.301
7292,0.36
5036,0.024
5644,0.077
6856,0.27
5428,0.231
5027,0.017
4989,0.283
5221,0.182
6402,0.026
5346,0.07
6748,0.135
