Id,Predicted
5895,0.145
7122,0.708
6173,0.004
6142,0.03
5358,0.348
6095,0.002
6878,0.277
6554,0.169
6793,0.364
7286,0.174
6076,0.025
5134,0.129
5419,0.209
6255,0.74
5656,0.143
6934,0.457
6028,0.054
6490,0.0
6415,0.41
7087,0.044
5420,0.236
5977,0.136
6824,0.245
5207,0.016
7115,0.291
7250,0.389
6010,0.385
6088,0.433
5682,0.003
7201,0.009
6938,0.087
6875,0.057
5953,0.003
5942,0.01
5382,0.005
6377,0.007
5931,0.217
5992,0.005
5790,0.246
6753,0.335
6562,0.052
7046,0.563
5868,0.05
5784,0.061
5878,0.08
5110,0.353
5210,0.003
7230,0.024
5005,0.161
6871,0.168
5363,0.072
7253,0.046
6055,0.269
5072,0.06
6913,0.165
6386,0.071
5634,0.166
5758,0.121
6819,0.075
7088,0.008
5039,0.004
5532,0.058
6037,0.037
6322,0.137
6887,0.005
6660,0.022
5451,0.036
6014,0.004
5556,0.253
6346,0.078
5850,0.365
5940,0.013
7119,0.042
5253,0.272
6851,0.266
6695,0.022
6908,0.771
7255,0.028
5674,0.456
6278,0.339
5486,0.495
5174,0.101
6621,0.237
6313,0.28
6435,0.019
6970,0.016
6310,0.1
5932,0.189
6877,0.064
6763,0.121
7085,0.127
7049,0.23
6959,0.212
5214,0.175
6350,0.101
5063,0.716
5041,0.233
5086,0.413
6942,0.004
5270,0.038
6705,0.093
7051,0.206
6758,0.171
6249,0.067
5808,0.012
5377,0.356
5446,0.158
5856,0.66
4986,0.014
7001,0.021
6677,0.09
6665,0.031
5817,0.179
6984,0.574
6541,0.024
5117,0.27
6097,0.004
5389,0.002
7219,0.008
6338,0.155
6922,0.117
5367,0.116
5638,0.192
5830,0.226
5338,0.002
6007,0.009
6612,0.247
5718,0.001
6104,0.127
5229,0.155
6625,0.455
5206,0.112
5963,0.224
4990,0.035
6641,0.01
5369,0.045
6196,0.136
5236,0.098
5719,0.122
5643,0.061
7050,0.329
6355,0.051
6688,0.006
6239,0.282
5531,0.009
6113,0.141
7181,0.482
6118,0.285
7264,0.198
5343,0.037
5051,0.46
5779,0.021
6605,0.222
6655,0.187
6534,0.428
5681,0.531
6607,0.122
6242,0.004
7242,0.073
7277,0.02
6675,0.023
5398,0.426
5956,0.001
5731,0.554
6956,0.096
6437,0.083
5447,0.153
5973,0.036
6075,0.043
5281,0.486
5103,0.0
6468,0.002
7209,0.297
5584,0.0
4988,0.732
6502,0.307
5651,0.17
4962,0.307
5862,0.132
7199,0.278
6727,0.152
7279,0.188
6544,0.059
5933,0.01
6574,0.221
6399,0.07
7187,0.0
6353,0.001
5043,0.11
5469,0.174
5976,0.141
6059,0.452
5799,0.02
6147,0.463
6254,0.062
7100,0.017
7147,0.085
5909,0.015
7037,0.321
5782,0.0
6237,0.586
6552,0.004
7067,0.032
5320,0.251
5930,0.26
6486,0.144
5245,0.229
6643,0.001
5260,0.039
5569,0.494
7110,0.447
7139,0.008
6791,0.036
5360,0.005
5287,0.513
6553,0.042
7072,0.084
6044,0.203
5332,0.0
6866,0.004
6633,0.177
6926,0.011
6442,0.154
5889,0.11
5765,0.34
5124,0.005
5491,0.397
6730,0.044
7151,0.02
5140,0.446
7171,0.004
6568,0.64
6861,0.081
6855,0.14
7129,0.006
5384,0.012
6859,0.217
5772,0.032
5665,0.022
6495,0.194
5061,0.035
6948,0.172
5773,0.149
6052,0.017
6682,0.018
6083,0.001
6962,0.14
5158,0.16
6464,0.004
5172,0.011
5582,0.008
6136,0.148
6235,0.225
6508,0.215
4968,0.173
6632,0.035
7195,0.457
5525,0.36
6320,0.017
6766,0.002
6872,0.367
5906,0.152
7172,0.0
6571,0.016
5616,0.171
6312,0.025
6470,0.269
5147,0.011
5501,0.158
6436,0.067
5699,0.607
5313,0.04
6234,0.001
6569,0.002
7202,0.106
5683,0.077
5034,0.129
5435,0.042
5815,0.117
5589,0.561
6746,0.027
6790,0.392
6857,0.025
6450,0.003
7221,0.236
5527,0.101
5620,0.574
6215,0.013
7167,0.061
5823,0.072
6207,0.028
6932,0.006
5669,0.193
5154,0.281
7168,0.034
5585,0.199
7200,0.03
6539,0.009
5774,0.057
6357,0.003
5042,0.093
5015,0.012
5354,0.067
6054,0.153
7295,0.037
5365,0.197
6755,0.546
5991,0.066
7035,0.126
5893,0.078
7164,0.001
5304,0.006
5561,0.068
5520,0.008
5241,0.053
7096,0.188
6078,0.003
5046,0.175
5334,0.141
6969,0.109
6821,0.152
5760,0.062
5614,0.019
7091,0.336
5698,0.12
5169,0.242
7294,0.023
5318,0.477
5368,0.026
6923,0.035
5463,0.003
5265,0.091
6321,0.245
5226,0.234
6868,0.005
4967,0.12
5293,0.0
5865,0.145
5841,0.12
5526,0.004
6852,0.0
6469,0.01
6168,0.069
7292,0.361
5036,0.004
5644,0.091
6856,0.394
5428,0.414
5027,0.006
4989,0.26
5221,0.386
6402,0.029
5346,0.2
6748,0.13
